날짜,기사 제목,기사 내용,중복횟수,링크
2024-02-06,HMM 매각 본계약 협상 막판까지 입장차 조율,"HMM = HMM 매각을 두고 산업은행 해양진흥공사와 하림측의 본계약 협상이 마감일 막판까지 이어지고 있다. 6일 산업은행과 투자은행 업계에 따르면 HMM 매각측과 인수 우선협상대상자인 하림 측은 이날 오후까지 막바지 협상을 하고 있으나, 아직 합의하지 못했다. 양측은 이날 자정께까지 협상을 이어갈 것으로 예상된다. 양측의 협상은 당초 지난달 23일까지가 마감 시한이었으나, 이달 6일로 한 차례 연장된 바 있다. 앞서 난항을 겪었던 양측의 협상은 하림 측이 그간 요구했던 바를 상당 부분 철회하면서 급물살을 탔지만, 여전히 세부 사항에 대해서는 이견을 좁히지 못한 것으로 알려졌다. 특히 주주 간 계약의 유효기간에 대해 합의를 이루지 못한 것으로 전해졌다. 하림 측은 주주 간 계약의 유효기간을 5년으로 제한하는 안, 컨소시엄으로 함께 참여한 사모펀드 JKL파트너스의 지분 매각 기한에 예외를 적용하는 안 등도 제시했으나 매각 측은 이를 받아들이지 못한다는 입장이다. 다만, 하림 측은 당초 매각 측이 보유한 잔여 영구채에 대해 주식 전환을 3년간 유예해달라고 요구했으나, 매각 측의 반대 의사에 이를 철회했다. IB업계 관계자는 세부 조건에 대한 논의가 길어지고 있다",140,https://www.yna.co.kr/view/AKR20240206169500002?input=1195m
2024-09-09,"HMM, 새로운 해운동맹 프리미어 얼라이언스 구성","HMM이 새로운 해운동맹인 프리미어 얼라이언스 를 구성했다. 유럽항로는 세계 1위 해운사인 스위스 MSC와 협력한다. HMM은 기존 디 얼라이언스 에서 신규 협력 체제인 프리미어 얼라이언스 를 새롭게 구성했다고 9일 밝혔다. 신규 협력은 HMM을 비롯해 ONE , Yang Ming 등 기존 디 얼라이언스 3사가 함께 하기로 했다. 협력기간은 2025년 2월부터 5년간이다. HMM은 전략적이고 장기적인 파트너십을 통해 글로벌 네트워크 범위를 확대하고, 안정적인 물류 서비스를 지속적으로 제공할 방침이다. 프리미어 얼라이언스 주요 항로는 동서항로를 잇는 아시아~美서안, 아시아~美동안, 아시아~지중해, 아시아~유럽, 아시아~중동 등으로 구성되며, 서비스 범위 및 상세 일정은 추후 발표 예정이다. 아시아~유럽 항로는 MSC와 선복교환 방식으로 협력한다. MSC와 함께 선복교환하는 지역은 아시아~북유럽 및 지중해 항로이며 총 9개 서비스다. 협력기간은 2025년 2월부터 총 4년이다. HMM은 이번 MSC와 유럽 항로 선복교환을 통해 글로벌 네트워크 범위를 확대하고, 보다 폭넓은 항만에 직기항 서비스를 제공할 방침이다.",67,http://news.mt.co.kr/mtview.php?no=2024090916101079785
2024-11-21,"탄소중립' 실현 HMM, 국내 첫 LNG 추진 컨테이너선 2척 도입","지난해 11월 23일 오후 서울 여의도 HMM 본사 사무실 내부 전광판에 HMM 홍보 영상이 나오고 있다. /사진=뉴시스 HMM이 LNG를 연료로 하는 7700TEU급 컨테이너선 2척을 도입한다고 21일 밝혔다. 부산 영도 HJ중공업에서 명명식을 가진 LNG 추진선 HMM 오션호 와 HMM 스카이호 는 내년 1월부터 투입될 예정이다. 이번 선박은 갈수록 강화되는 탄소배출 규제에 대응하기 위한 선박으로 컨테이너선 중 국내 첫 LNG 추진 선박이다. 그리스 선주사인 나비오스 가 국내 조선소인 HJ중공업에 발주했으며 HMM이 최대 14년간 용선해 운항한다. 해운업계는 2050년 탄소중립을 목표로 EU ETS , FuelEU Maritime 등 규제를 이행하고 있다. 규제를 충족하지 못하는 선박들은 운항이 어려울 수 있어 탄소 배출을 줄이는 친환경 선박은 선사의 가장 중요한 경쟁력이다. 선박 대체 연료로 메탄올, 암모니아 등 다양한 연구가 추진되는 가운데 최근 LNG가 유용한 저탄소 연료로 주목을 받고 있다. 프랑스 해운조사 전문기관 알파라이너 는 올해 전 세계에서 발주된 선박의 55%가 LNG 추진선이라고 분석했다. LNG 추진선은 이산화탄소와 질소산화물을 각각 ",54,https://www.munhwa.com/news/view.html?no=2024112101039907207001
2024-12-17,"HMM, 대서양·인도-유럽 구간 신규 서비스 개설","대서양항로 유럽~미주 구간 7년 만에 재진출 HMM 은 내년 2월부터 대서양과 인도-유럽 구간에서 컨테이너 서비스를 신규 개설해 경쟁력을 강화한다고 17일 밝혔다. HMM이 운영 중인 컨테이너선. 이번 신규 서비스는 대서양을 횡단해 유럽과 미주지역을 잇는 TA1 과 인도와 북유럽을 연결하는 INX 컨테이너 서비스다. 대서양 항로 는 주요 원양 항로의 하나다. HMM은 2018년 서비스 종료 이후 7년 만에 이 항로에 재진출한다. 그동안 한국선사의 진출이 어려웠던 대서양 항로 진출로 HMM은 태평양, 인도양 등 주요 동서항로에서 모두 서비스를 제공할 수 있게 됐다. 회사 측은 “글로벌 고객의 다양한 요구에 부응할 수 있는 네트워크를 구축하게 됐다”고 강조했다. TA1 서비스는 내년 2월부터 영국 사우샘프턴에서 시작될 예정이며 4600TEU 급 컨테이너선 10척을 투입해 왕복 총 70일이 소요된다. 기항지는 사우샘프턴 -르아브르 -로테르담 -함부르크 -앤트워프 -마이애미 -카르타헤나 -파나마운하-로드만 -LA/롱비치 -오클랜드 -로드만 -파나마운하-카우세도 -사우샘프턴 순이다. 최근 급성장하는 인도 시장 공략을 위해 인도와 북유럽을 잇는 INX 서비스를 신규 개",30,http://www.edaily.co.kr/news/newspath.asp?newsid=01981126639119504
2024-04-15,HMM “2030년까지 컨테이너 150만TEU로 확대”,"“2030 중장기전략 수립중” 벌크 부문도 110척으로 늘리기로 HMM은 15일 선복량을 현재 92만TEU 에서 150만TEU로 확대하는 ‘2030년 중장기전략’을 수립중이라고 밝혔다. HMM 홈페이지 캡처 전 세계 경제 둔화 및 친환경 규제 강화, 글로벌 선사간 경쟁 등 해운환경의 불확실성이 증대되는 상황에서, 주력사업의 경쟁력 강화 및 안정적인 사업기반을 확보하기 위해서다. 컨테이너 사업의 경우 글로벌 해운 동맹 재편에 대응하고 핵심사업의 경쟁력을 강화하기 위해 올해 92만TEU 인 선복량을 2030년 150만TEU 로 확대하는 방안을 추진한다. 서비스 네트워크 확장, 노선 다변화 등을 통해 시장점유율을 확대해 나갈 계획이다. 벌크 사업은 지속가능 경영을 위한 수익 확보, 컨테이너 사업과의 균형 성장을 위해 현재 630만DWT 에서 2030년 1228만DWT 로 선대 확장을 추진한다. 선형별로 경쟁력있는 선대 포트폴리오를 구성하는 한편 국내외 전략 화주를 기반으로 영업을 강화할 계획이다. 아울러 서비스 네트워크 확장에 맞춰 신규 터미널 확보 등 물류 인프라를 강화하여 수익 다각화를 추진할 방침이다. 갈수록 강화되고 있는 글로벌 환경 규제에 대한 대응력도 ",29,http://www.finomy.com/news/articleView.html?idxno=209499
2024-07-02,"HMM 몽글라호, '선박용 탄소포집' 장치 달고 출항…국내 첫 실증","HMM, 국내 최초 ‘선박용 탄소 포집 시스템’ 실증 나서 전세계적으로 관심 높은 분야 순수 국내 기술로 연구 HMM은 국내 최초로 ‘선박용 탄소 포집 시스템 ’을 컨테이너선에 설치하고 실증을 진행하기 위해 출항했다고 2일 밝혔다. 이번 실증은 2200TEU 급 컨테이너선 ‘HMM 몽글라’호에서 진행되며, HMM은 운항 중 온실가스 감축량, 선박에 미치는 영향 등을 면밀히 점검할 예정이다. 선박용 탄소 포집 시스템 은 선박 운항 시 발생하는 이산화탄소 를 포집 후 액화 저장해 배출을 방지하는 온실가스 대응기술이다. 향후 IMO 등 국제기구로부터 탄소 감축 기술로 인정받을 가능성이 높아 선박 온실가스 저감에 유효한 수단이 될 것으로 전망된다. HMM 관계자들이 1일 목포수리조선소에서 개최된 ‘선박용 탄소 포집 시스템 완공 기념식’에서 기념 촬영을 하고 있다. 사진=HMM 제공 이번 기술 개발을 위해 HMM은 지난해 4월 삼성중공업, 한국선급, 국내 친환경설비 전문기업 파나시아 등과 업무 협약을 맺고 OCCS 실증 연구를 시작했다. 이번 연구는 전세계적으로 탄소 포집 기술이 활발하게 연구되고 있는 상황에서, 순수 국내 기술로 개발한다. HMM은 ‘2050 탄소중",29,http://www.edaily.co.kr/news/newspath.asp?newsid=01659686638950584
2024-05-07,"HMM, 글로벌 ESG 평가 '상위 1%' 플래티넘 등급 획득","에코바디스 평가 국내 해운업계 최초 플래티넘 등급 2021년 실버 등급 획득 이후 3년만에 최고등급 올라 에코바디스 플래티넘 등급 인증 표지. ⓒHMM HMM은 국내 해운업계 최초로 에코바디스 의 ESG 평가에서 상위 1%에게만 주어지는 ‘플래티넘 ’ 등급을 획득했다고 7일 밝혔다. 에코바디스는 프랑스 소재 글로벌 ESG 평가기관으로 신뢰성 높은 평가로 전 세계에서 인정받고 있다. 평가는 기업의 환경 노동?인권 윤리 지속가능조달 등 4개 항목에서 진행되며, 결과에 따라 플래티넘 , 골드 , 실버 , 브론즈 등급을 부여한다. 특히, 올해부터는 평가 제도가 개편되어 등급 부여 기준이 강화됐다. HMM은 이러한 상황에서도 상위 1%에게만 부여되는 ‘플래티넘’ 등급을 획득했다. 2021년 ‘실버 ’ 등급을 획득한 이후, 2022년~2023년에는 ‘골드 ’ 등급을 획득했으며, 3년 만에 가장 높은 최고등급을 받았다. HMM은 전년도 평가 결과 대비 전 분야에서 점수를 유지 및 상향했는데, 특히 기존에 강점을 보이던 환경 분야 외에도 지속가능조달 분야에서 높은 점수를 획득했다. 환경친화적 서비스를 제공하는 자체적인 노력은 물론 HMM과 협업하는 업체들에 대한 평가, 실",28,http://www.sisacast.kr/news/articleView.html?idxno=54849
2024-11-04,국민대 ‘졸업 선배와 함께 하는 직무박람회’ 마무리,"국민대, 삼성전자 현대자동차 SK하이닉스 등 국내 40개기업 직무박람회 개최 사진 국민대학교 경력개발지원단이 10월 31일 ‘2024 졸업 선배와 함께하는 직무박람회’를 개최했다. 이번 박람회는 고용노동부의 대학일자리플러스센터 사업 중 하반기 집중 취업 지원 기간에 맞춰 진로 및 취업을 고민하는 청년들의 직무 이해도를 높이고, 취업경쟁력을 향상을 위해 국민대 졸업 동문의 도움을 받아 기획됐다. 박람회는 크게 직무멘토링ZONE 대학일자리플러스센터홍보ZONE 청년취업지원유관기관ZONE 국민대학교사업단홍보ZONE 이벤트ZONE의 5개로 구성됐다. 40개의 직무 멘토링 외에 대학일자리플러스센터와 청년취업 지원 유관기관의 홍보 부스가 운영되었고, 퍼스널컬러를 진단받고, 포토 카드를 만들 수 있는 이벤트까지 다양한 정보와 재미가 공존할 수 있는 공간으로 마련됐다. 직무멘토링ZONE 40개 부스에는 국민대 졸업 동문 32명과 직무 담당자가 멘토로 참여하여 학생들의 사전 수요조사를 통해 선정된 직무에 대한 질의응답 시간을 가졌다. 이를 통해 재학생들은 삼성전자, 현대자동차, LG에너지솔루션, HMM, SK하이닉스, 한화솔루션 등 국내 주요 기업에서 재직 중인 선배에게 생생",27,https://www.joongang.co.kr/article/25289398
2024-07-15,"HMM, 일본 ONE와 상하이~멕시코 노선 신설…8월 첫 출항",HMM 제공 = HMM 은 15일 멕시코로 향하는 FLX 컨테이너 서비스를 신규 개설했다고 밝혔다. 같은 디얼라이언스 소속인 일본 ONE와 공동 운영하며 4000TEU 급 컨테이너선이 투입된다. 상하이 - 부산 - 라자로 카르데나스 - 상하이 순으로 기항할 예정이며 8월 16일 상하이에서 처음으로 출항한다. 미국과 인접한 멕시코로 생산시설을 옮기는 니어쇼어링 현상으로 중국발 멕시코 화물이 증가해 신규 서비스를 개설했다는 것이 HMM 설명이다.,27,https://www.news1.kr/industry/general-industry/5478956
2024-01-10,"HMM, 국내 수출기업 위해 유럽노선 임시 선박 투입","홍해 사태로 발생한 선복 부족 문제 해결 HMM 은 국내 수출기업들의 유럽향 수출화물을 운송하기 위해 유럽 지중해 노선에 임시 선박을 긴급 투입한다고 10일 밝혔다. 통상 아시아에서 유럽 지중해로 향하는 선박은 수에즈 운하를 통과하는데, 최근 예멘 후티 반군이 홍해~수에즈 항로를 지나는 선박을 공격해 글로벌 선사의 선박들이 남아프리카 희망봉으로 우회하고 있다. 이로 인해 운항일수가 기존 대비 15일 이상 늘어나 유럽으로 수출하는 국내 기업들의 어려움이 가중되는 상황이다. 특히 1월 중순 이후 유럽향 선복 부족 현상이 더욱 심화할 것으로 예상됨에 따라 HMM은 유럽과 지중해 노선에 임시 선박을 투입하기로 결정했다. 북유럽 노선에는 1만1000TEU 급 컨테이너선 1척을 투입해 오는 18일 부산을 출발한다. 지중해 노선에는 4000~6000TEU급 컨테이너선 3척이 각각 1월 15일과 29일, 2월 4일에 부산을 출발한다. HMM 관계자는 “별도의 여유 선박이 없는 상황에서 임시 선박을 투입하기 위해서는 다른 노선의 선박을 재배치하는 등 운영상 어려움이 발생하지만, 국내 기업들의 원활한 수출을 위해 임시 선박 투입을 결정했다”고 설명했다. 한편 HMM은 코로나1",26,http://www.startuptoday.co.kr/news/articleView.html?idxno=164976
